Genus,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,IA1,IA2,IA3,IA4,IA5,IA18,IA19,IA20,IA21,IA22,IA24,IA25,IA27,IA29,IA30,IA35,IA37,IA39,IA40,IA41,IA42,IA43,IA44,IA45,IA46,IS6,IS7,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS17,IS50,IS23,IS28,IS31,IS32,IS33,IS34,IS36,IS38,IS47,IS48
Salmonella,0.01220638,0.092932608,0.011180634,0.091906862,0.011693507,0.10206175,0.115191302,0.149656375,0.070263617,0.124628167,0.022976716,0.016719664,0.009231716,0.01220638,0.007180224,0.003795261,0.005846754,0.000718022,0.000718022,0.000512873,0.001230895,0.000923172,0.011180634,0.000615448,0.004513283,0.011693507,0.005026157,0.009334291,0.000307724,0.000102575,0.000410298,0.000820597,0.000205149,0.003384963,0.000307724,0.000512873,0.000923172,0.002769515,0.007077649,0.000410298,0.002359216,0.021335522,0.001538619,0.005846754,0.007590522,0.008718843,0.002872089,0.001538619,0.002769515,0.010975485,0.000307724,0.000820597,0.003077239,0.00133347,0.000718022,0.000307724,0.000923172,0.003590112
Serratia,0.017964072,0.087997917,0.009893257,0.090080708,0.013538141,0.101015361,0.106743036,0.141629784,0.065087217,0.11715699,0.020046863,0.022129654,0.010674304,0.010934652,0.007289768,0.006248373,0.009893257,0.001041395,0.001041395,0.000781047,0.000520698,0.000520698,0.01379849,0,0.004946628,0.015100234,0.002863838,0.014058839,0.000260349,0.000260349,0.000260349,0.001041395,0,0.004425931,0,0.000260349,0.001822442,0.00468628,0.010674304,0.000520698,0.002082791,0.022650351,0.001822442,0.005988024,0.005727675,0.014839885,0.001301744,0.002082791,0.002863838,0.009372559,0.000520698,0.002082791,0.002863838,0.00234314,0.000260349,0.000781047,0.000781047,0.004425931
Shigella,0.013639002,0.086477075,0.010156703,0.088508416,0.012768427,0.083284968,0.120719675,0.134068485,0.069645966,0.120429483,0.025246663,0.02466628,0.011027278,0.00754498,0.008705746,0.004352873,0.009866512,0.000870575,0.000580383,0.001160766,0.000290192,0.001160766,0.012478236,0.000870575,0.006674405,0.013929193,0.006964597,0.011897853,0.000580383,0.000290192,0.000290192,0.000290192,0.000580383,0.00377249,0.000290192,0.000580383,0.000580383,0.004643064,0.008705746,0.000290192,0.002031341,0.025536854,0.001160766,0.005513639,0.006384214,0.011897853,0.003192107,0.003482298,0.002611724,0.012768427,0.000290192,0.001741149,0.004062681,0.002611724,0.000290192,0.000870575,0.002321532,0.004352873
Xenorhabdus,0.019458545,0.082064298,0.012690355,0.088832487,0.01607445,0.08714044,0.110829103,0.137055838,0.075296108,0.124365482,0.021150592,0.023688663,0.010998308,0.008460237,0.008460237,0.000846024,0.010152284,0.000846024,0,0.000846024,0.000846024,0.000846024,0.012690355,0.001692047,0.004230118,0.010998308,0.005922166,0.011844332,0.002538071,0,0,0.000846024,0,0.00676819,0,0,0,0.002538071,0.013536379,0.000846024,0.001692047,0.019458545,0.000846024,0.012690355,0.007614213,0.00676819,0.001692047,0.002538071,0.003384095,0.011844332,0,0.000846024,0.008460237,0.000846024,0.000846024,0,0.001692047,0.003384095
Yersinia,0.019647501,0.077723201,0.010401618,0.082057209,0.01357989,0.077723201,0.108928055,0.130887027,0.071077723,0.111239526,0.024270442,0.027737648,0.010401618,0.013868824,0.006356544,0.006645478,0.010690552,0.000866802,0.001444669,0.002022537,0.000288934,0.001155735,0.01357989,0.001733603,0.006356544,0.01733603,0.007801214,0.013290956,0.001155735,0,0.000288934,0.001155735,0,0.00375614,0,0.000288934,0.000577868,0.004911875,0.008668015,0.001155735,0.002889338,0.032938457,0.000866802,0.008668015,0.012135221,0.010401618,0.002889338,0.002889338,0.00375614,0.014157758,0.001155735,0.002311471,0.004911875,0.001733603,0.000288934,0.000866802,0.004045074,0.002022537
Edwardsiella,0.019591141,0.065587734,0.017035775,0.083475298,0.018739353,0.080919932,0.099659284,0.137989779,0.05451448,0.120954003,0.019591141,0.036626917,0.005962521,0.017887564,0.011925043,0.004258944,0.011073254,0.000851789,0,0.000851789,0.000851789,0.000851789,0.010221465,0,0.005962521,0.012776831,0.005110733,0.019591141,0.001703578,0,0.000851789,0.001703578,0,0.004258944,0,0,0.000851789,0.000851789,0.014480409,0,0.003407155,0.038330494,0.003407155,0.011073254,0.005962521,0.017887564,0.000851789,0.001703578,0.000851789,0.011073254,0.000851789,0.003407155,0.004258944,0.001703578,0,0.000851789,0.002555366,0.004258944
Arsenophonus,0.020264317,0.064317181,0.016740088,0.074889868,0.020264317,0.075770925,0.096035242,0.139207048,0.072246696,0.11277533,0.015859031,0.031718062,0.014096916,0.015859031,0.011453744,0.004405286,0.015859031,0.000881057,0.000881057,0.000881057,0.001762115,0.001762115,0.014096916,0.001762115,0.006167401,0.018502203,0.007929515,0.016740088,0.001762115,0,0,0.001762115,0,0.003524229,0,0.000881057,0.001762115,0.003524229,0.011453744,0.001762115,0.002643172,0.024669604,0.002643172,0.005286344,0.00969163,0.013215859,0.005286344,0.003524229,0.006167401,0.00969163,0.000881057,0.001762115,0.006167401,0.003524229,0.000881057,0,0.000881057,0.003524229
Aeromonas,0.02306425,0.074794069,0.011037891,0.079901153,0.021581549,0.081878089,0.095222405,0.133443163,0.061779242,0.106260297,0.018616145,0.029818781,0.014827018,0.014332784,0.009555189,0.004448105,0.01416804,0.000658979,0.000329489,0.000658979,0.001317957,0.001812191,0.015650741,0.000988468,0.006425041,0.017957166,0.007248764,0.012026359,0.000658979,0.000494234,0.000329489,0.001812191,0.000164745,0.003953871,0.000164745,0.000494234,0.000494234,0.004448105,0.009390445,0.000494234,0.004283361,0.03014827,0.001976936,0.010873147,0.012850082,0.01416804,0.003953871,0.002306425,0.002306425,0.013509061,0.000164745,0.001482702,0.006095552,0.003459638,0.000988468,0.000823723,0.001812191,0.006095552
Photobacterium,0.017558528,0.069397993,0.013795987,0.089046823,0.012959866,0.078177258,0.091973244,0.120819398,0.064381271,0.108695652,0.023829431,0.029264214,0.014632107,0.013795987,0.012123746,0.006270903,0.013377926,0.001254181,0.001672241,0.001672241,0,0.001672241,0.015050167,0.001254181,0.007107023,0.017558528,0.006270903,0.017140468,0,0,0.00041806,0.001254181,0,0.003762542,0.00041806,0.00041806,0.002926421,0.004180602,0.012123746,0,0.005016722,0.034698997,0.001672241,0.010451505,0.013377926,0.016304348,0.004180602,0.001672241,0.002090301,0.014214047,0.00083612,0.001672241,0.005016722,0.002926421,0,0.002508361,0.00083612,0.006270903
Vibrio,0.01895441,0.063800793,0.010530228,0.073711596,0.013007929,0.076560951,0.091427156,0.128221011,0.058349851,0.10654113,0.023909812,0.026139742,0.01722002,0.016105055,0.012264618,0.006318137,0.013875124,0.00049554,0.00173439,0.000867195,0.00173439,0.00123885,0.016848365,0.00148662,0.007804757,0.020564916,0.006565907,0.019821606,0.00099108,0.00049554,0.000867195,0.00173439,0.00049554,0.006565907,0.000619425,0.00074331,0.00074331,0.004459861,0.012388503,0.000619425,0.004088206,0.039395441,0.002353816,0.012140733,0.014866204,0.015857284,0.003716551,0.003344896,0.003716551,0.013503469,0.000371655,0.001610505,0.006813677,0.003221011,0.000619425,0.000619425,0.001858276,0.005079286
