Genus,OTUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,IA1,IA2,IA3,IA4,IA5,IA18,IA19,IA20,IA21,IA22,IA24,IA25,IA27,IA29,IA30,IA35,IA37,IA39,IA40,IA41,IA42,IA43,IA44,IA45,IA46,IS6,IS7,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS17,IS50,IS23,IS28,IS31,IS32,IS33,IS34,IS36,IS38,IS47,IS48
Pelodictyon,1100,0.019672131,0.009836066,0.006557377,0.016393443,0.039344262,0.003278689,0.019672131,0.006557377,0.003278689,0.032786885,0.032786885,0.026229508,0.032786885,0.019672131,0.039344262,0.026229508,0.039344262,0.003278689,0.006557377,0,0.006557377,0.003278689,0.068852459,0.006557377,0.006557377,0.045901639,0.02295082,0.042622951,0,0,0,0,0,0.013114754,0,0.009836066,0,0.009836066,0.036065574,0,0.009836066,0.081967213,0.003278689,0.026229508,0.045901639,0.042622951,0.009836066,0.006557377,0.009836066,0.026229508,0.003278689,0.009836066,0.016393443,0,0,0.003278689,0.006557377,0.042622951
Prosthecochloris,1102,0.040650407,0.008130081,0.024390244,0.016260163,0,0.008130081,0.016260163,0.008130081,0,0.032520325,0.008130081,0.016260163,0.048780488,0.024390244,0.024390244,0.024390244,0.040650407,0.008130081,0,0.016260163,0.008130081,0,0.032520325,0,0.048780488,0.048780488,0.024390244,0.040650407,0.008130081,0,0,0.016260163,0,0.024390244,0,0,0,0.008130081,0.024390244,0,0.008130081,0.138211382,0.016260163,0.016260163,0.056910569,0.032520325,0.008130081,0,0,0.032520325,0,0,0.008130081,0.008130081,0.008130081,0.008130081,0.008130081,0
Clathrochloris,1103,0.033962264,0.003773585,0.018867925,0.00754717,0.018867925,0.011320755,0.022641509,0.018867925,0.003773585,0,0.01509434,0.033962264,0.037735849,0.045283019,0.041509434,0.033962264,0.052830189,0.003773585,0.003773585,0,0.003773585,0,0.030188679,0.003773585,0.018867925,0.037735849,0.018867925,0.041509434,0,0,0,0,0,0.030188679,0.003773585,0,0.003773585,0.01509434,0.033962264,0.003773585,0.011320755,0.101886792,0,0.033962264,0.041509434,0.056603774,0.011320755,0,0.011320755,0.022641509,0,0.011320755,0.01509434,0.01509434,0.011320755,0,0,0.003773585
Chloroflexus,1107,0.020979021,0.003496503,0.017482517,0.01048951,0.031468531,0.006993007,0.01048951,0.020979021,0,0.013986014,0.034965035,0.01048951,0.048951049,0.034965035,0.024475524,0.020979021,0.041958042,0.003496503,0.003496503,0.006993007,0.003496503,0.003496503,0.045454545,0.006993007,0.024475524,0.038461538,0.024475524,0.027972028,0.003496503,0.003496503,0,0,0,0.020979021,0,0.003496503,0.003496503,0.020979021,0.052447552,0,0.024475524,0.108391608,0.006993007,0.031468531,0.024475524,0.031468531,0.003496503,0.01048951,0.017482517,0.027972028,0,0.003496503,0.024475524,0.013986014,0,0.003496503,0.006993007,0.01048951
Heliothrix,1110,0.027888446,0.003984064,0.015936255,0.011952191,0.039840637,0.027888446,0.003984064,0.023904382,0.003984064,0.015936255,0.019920319,0.027888446,0.055776892,0.047808765,0.023904382,0.011952191,0.023904382,0,0,0,0.007968127,0.003984064,0.023904382,0.003984064,0.019920319,0.075697211,0.019920319,0.059760956,0,0,0.003984064,0.007968127,0.003984064,0.019920319,0,0.003984064,0,0.015936255,0.015936255,0,0.011952191,0.107569721,0.011952191,0.015936255,0.027888446,0.035856574,0.003984064,0.003984064,0.015936255,0.035856574,0.003984064,0.003984064,0.007968127,0.011952191,0,0.003984064,0.011952191,0.011952191
Porphyrobacter,1113,0.026666667,0,0.02,0,0.02,0.026666667,0.006666667,0.026666667,0.006666667,0.006666667,0.006666667,0.026666667,0.066666667,0.02,0.026666667,0.04,0.053333333,0,0,0,0.006666667,0,0.04,0.006666667,0.026666667,0.066666667,0.02,0.04,0,0,0,0,0.006666667,0.02,0,0,0.006666667,0.006666667,0.02,0,0.006666667,0.093333333,0.006666667,0.026666667,0.026666667,0.026666667,0.006666667,0.02,0.02,0.046666667,0,0.006666667,0.013333333,0.006666667,0,0,0.013333333,0.033333333
Piscirickettsia,1237,0.014925373,0.014925373,0,0,0.029850746,0.007462687,0.007462687,0.02238806,0,0.02238806,0.029850746,0.037313433,0.059701493,0.082089552,0.029850746,0.037313433,0.014925373,0.014925373,0,0,0,0.007462687,0.014925373,0.014925373,0.014925373,0.029850746,0.044776119,0.014925373,0.007462687,0,0.007462687,0.014925373,0,0.02238806,0,0,0,0.037313433,0.029850746,0,0.029850746,0.074626866,0,0.029850746,0.02238806,0.059701493,0,0.014925373,0,0.014925373,0,0.014925373,0.02238806,0.007462687,0,0,0,0.02238806
Pediococcus,1254,0.019157088,0.011494253,0.019157088,0.003831418,0.026819923,0.003831418,0,0.022988506,0.003831418,0.026819923,0.026819923,0.045977011,0.019157088,0.045977011,0.022988506,0.019157088,0.030651341,0.003831418,0.007662835,0,0.003831418,0.007662835,0.026819923,0,0.01532567,0.053639847,0.007662835,0.038314176,0,0,0.003831418,0.011494253,0.003831418,0.007662835,0,0,0.003831418,0.022988506,0.030651341,0,0.022988506,0.149425287,0.007662835,0.022988506,0.042145594,0.045977011,0.011494253,0.003831418,0.007662835,0.049808429,0.003831418,0,0.011494253,0.011494253,0,0,0,0.011494253
Streptococcus,1306,0.01183432,0.01183432,0.01183432,0.01183432,0.023668639,0.01183432,0.01183432,0.035502959,0.00591716,0,0.035502959,0.017751479,0.065088757,0.041420118,0.041420118,0.023668639,0.023668639,0.00591716,0,0.01183432,0.01183432,0.01183432,0.029585799,0.01183432,0.023668639,0.029585799,0.01183432,0.023668639,0,0,0,0.00591716,0,0.00591716,0,0,0,0.00591716,0.053254438,0,0.023668639,0.118343195,0,0.023668639,0.029585799,0.041420118,0.01183432,0.01183432,0.01183432,0.041420118,0,0.00591716,0.00591716,0.017751479,0,0,0.00591716,0.023668639
Clostridium,1559,0.034090909,0.020833333,0.03030303,0.005681818,0.022727273,0.007575758,0.005681818,0,0.003787879,0.007575758,0.03219697,0.024621212,0.045454545,0.056818182,0.03219697,0.018939394,0.03030303,0.001893939,0.005681818,0.007575758,0.005681818,0,0.039772727,0.001893939,0.018939394,0.049242424,0.015151515,0.045454545,0.003787879,0,0.001893939,0.003787879,0.001893939,0.013257576,0,0,0.005681818,0.011363636,0.026515152,0,0.009469697,0.09469697,0.005681818,0.043560606,0.053030303,0.070075758,0.005681818,0.001893939,0.011363636,0.026515152,0.005681818,0.001893939,0.005681818,0.005681818,0.005681818,0.001893939,0.005681818,0.007575758
